text_display,video_source,text_emoji,text_clean,word_count,aspect_category,is_sarcastic,sentiment
Gol pertama Myanmar itu penyakit pemain Lokal kita sll fokus ke bola tidak liat pergerakan lawan,Youtube,Gol pertama Myanmar itu penyakit pemain Lokal kita sll fokus ke bola tidak liat pergerakan lawan,gol pertama myanmar itu penyakit pemain lokal kita selalu fokus ke bola tidak lihat pergerakan lawan,16,Player,0,Negative
Kaka❤❤❤❤❤❤❤❤❤❤❤,Youtube,Kaka hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah,kakak hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah,23,General,0,Neutral
"Banyak banget istilah ""setelan pabrik"" nongol 😂",Youtube,"Banyak banget istilah ""setelan pabrik"" nongol lawak",banyak banget istilah setelan pabrik nongol lawak,7,General,0,Neutral
Ga ada striker laen selain hoki apa??,Youtube,Ga ada striker laen selain hoki apa??,enggak ada striker lain selain hoki apa??,7,General,0,Negative
mengapa Revan tdk dari awal mainnya,Youtube,mengapa Revan tdk dari awal mainnya,mengapa revan tidak dari awal mainnya,6,General,0,Negative
"Squad ini sebenernya bagus sih lini depannya, , sayang nya mainya gak bisa rapi,, kayak u 17",Youtube,"Squad ini sebenernya bagus sih lini depannya, , sayang nya mainya gak bisa rapi,, kayak u 17",squad ini sebenarnya bagus sih lini depannya sayang nya mainya enggak bisa rapi kayak lu 17,16,General,0,Negative
Towel ndi toweeeel...,Youtube,Towel ndi toweeeel...,towel ndi towel,3,Pundit,1,Negative
permainan asli indonesia sayangnya baru muncul di menit 90an keatas,Youtube,permainan asli indonesia sayangnya baru muncul di menit 90an keatas,permainan asli indonesia sayangnya baru muncul di menit 90an keatas,10,General,0,Negative
Sejak STY diganti Klupertt udah males liat Timnas,Youtube,Sejak STY diganti Klupertt udah males liat Timnas,sejak sty diganti klupertt sudah malas lihat timnas,8,Coach_STY,0,Negative
"Kalah di hujat, menang gk bersyukur. Jen, jen.😁😂",Youtube,"Kalah di hujat, menang gk bersyukur. Jen, jen. wajah gembira dengan mata bahagia lawak",kalah di hujat menang enggak bersyukur jen jen wajah gembira dengan mata bahagia lawak,14,General,1,Negative
"Menang tidak selalu menyenangkan wkwkwk
 Karena tetap aja ga lolos",Youtube,Menang tidak selalu menyenangkan wkwkwk Karena tetap aja ga lolos,menang tidak selalu menyenangkan wkwkwk karena tetap saja enggak lolos,10,General,1,Negative
Semoga PSSI mempertahankan Coach Indra Safrie jadi pelatih Timnas Sea Games 2027 😊,Youtube,Semoga PSSI mempertahankan Coach Indra Safrie jadi pelatih Timnas Sea Games 2027 wajah tersenyum dengan mata bahagia,semoga pssi mempertahankan coach indra safrie jadi pelatih timnas sea games 2027 wajah tersenyum dengan mata bahagia,17,Coach_Indra,0,Positive
"Maaf Mau nanya, Klw tadi Kiper Blok pakai Tangan kiri kira2 bgus Gak",Youtube,"Maaf Mau nanya, Klw tadi Kiper Blok pakai Tangan kiri kira2 bgus Gak",maaf mau bertanya kalau tadi kiper blok pakai tangan kiri kira-kira bagus enggak,13,Player,0,Neutral
Towel is bedes 😂😂😂😂😂,Youtube,Towel is bedes lawak lawak lawak lawak lawak,towel is bedes lawak lawak lawak lawak lawak,8,Pundit,1,Negative
"Tenang, taktik indra xavi masih disimpan",Youtube,"Tenang, taktik indra xavi masih disimpan",tenang taktik indra xavi masih disimpan,6,Coach_Indra,0,Neutral
Jing iklan nya ngalangin,Youtube,Jing iklan nya ngalangin,anjing iklan nya ngalangin,4,General,0,Negative
Andai gak kebobolan di awal. Lolos kita,Youtube,Andai gak kebobolan di awal. Lolos kita,andai enggak kebobolan di awal lolos kita,7,General,0,Negative
Kualitas indo saat ini Setara timor leste ternyata,Youtube,Kualitas indo saat ini Setara timor leste ternyata,kualitas indonesia saat ini setara timor leste ternyata,8,General,0,Negative
Timnas Paling Ampas ini mah😂,Youtube,Timnas Paling Ampas ini mah lawak,timnas paling ampas ini mah lawak,6,Player,0,Negative
Wow nice emas lah dapat😂😅😂,Youtube,Wow nice emas lah dapat lawak hedeh lawak,wow nice emas lah dapat lawak hedeh lawak,8,General,1,Negative
Jaman STY U23 hampir masuk Olympiade...skrng lolos SEA GAMES level ASEAN kaga lolos...Towel seneng ini😅😊,Youtube,Jaman STY U23 hampir masuk Olympiade...skrng lolos SEA GAMES level ASEAN kaga lolos...Towel seneng ini hedeh wajah tersenyum dengan mata bahagia,jaman sty u23 hampir masuk olympiadeskrng lolos sea games level asean kagak lolostowel senang ini hedeh wajah tersenyum dengan mata bahagia,21,Coach_STY,1,Negative
"Pak ketua PSSI anda hebat sekali, lanjutkan makasih udah bikin ketawa😭",Youtube,"Pak ketua PSSI anda hebat sekali, lanjutkan makasih udah bikin ketawa wajah menangis keras",pak ketua pssi anda hebat sekali lanjutkan terima kasih sudah bikin ketawa wajah menangis keras,15,Mgmt_General,1,Negative
hasil dari training 1 bulan dan uji coba terkhusus untuk u 22 dengan skema umpan lambung dan berujung asam lambung,Youtube,hasil dari training 1 bulan dan uji coba terkhusus untuk u 22 dengan skema umpan lambung dan berujung asam lambung,hasil dari training 1 bulan dan uji coba terkhusus untuk lu 22 dengan skema umpan lambung dan berujung asam lambung,20,General,0,Negative
Kembali ke stelan pabrik,Youtube,Kembali ke stelan pabrik,kembali ke stelan pabrik,4,General,0,Neutral
Kembali stelan pabrik timnas indonesia,Youtube,Kembali stelan pabrik timnas indonesia,kembali stelan pabrik timnas indonesia,5,Player,0,Neutral
Revan spesialis finishing tim asean,Youtube,Revan spesialis finishing tim asean,revan spesialis finishing tim asean,5,General,0,Neutral
"Selamat Buat bang Safri,anda pelatih yg tidak ada duanya di negeri ini,dan anda layak jadi pelatih mu(Majalaya united)",Youtube,"Selamat Buat bang Safri,anda pelatih yg tidak ada duanya di negeri ini,dan anda layak jadi pelatih mu(Majalaya united)",selamat buat bang safrianda pelatih yang tidak ada duanya di negeri inidan anda layak jadi pelatih mumajalaya united,18,General,1,Negative
Era towel kembali,Youtube,Era towel kembali,era towel kembali,3,Pundit,0,Neutral
Mengalami kemajuan pesat timnas,Youtube,Mengalami kemajuan pesat timnas,mengalami kemajuan pesat timnas,4,Player,0,Positive
Towel justin arya dan tohirin si paling belanda sangat senang dengan hasil ini 🔥🔥🔥,Youtube,Towel justin arya dan tohirin si paling belanda sangat senang dengan hasil ini menyala menyala menyala,towel justin arya dan tohirin sih paling belanda sangat senang dengan hasil ini menyala menyala menyala,16,Mgmt_Arya,1,Negative
Eh akhirnya kembali berkebun juga,Youtube,Eh akhirnya kembali berkebun juga,eh akhirnya kembali berkebun juga,5,General,1,Negative
Towel sama Cuch mana komen nya,Youtube,Towel sama Cuch mana komen nya,towel sama cuch mana komen nya,6,Pundit,0,Neutral
Seperti kembali ke masa kegelapan lg ini.... ubah lah konsepnya cara melatih pemain nya agar lbh terkonsep,Youtube,Seperti kembali ke masa kegelapan lg ini.... ubah lah konsepnya cara melatih pemain nya agar lbh terkonsep,seperti kembali ke masa kegelapan lagi ini ubah lah konsepnya cara melatih pemain nya agar lebih terkonsep,17,Player,0,Negative
Kembali ke setelan awal 😂,Youtube,Kembali ke setelan awal lawak,kembali ke setelan awal lawak,5,General,1,Negative
"Jadi Ternyata inilah era yang di impikan...
 Entah berapa ratus tahun lagi bisa sama seperti era sty mode U23 AFC.",Youtube,Jadi Ternyata inilah era yang di impikan... Entah berapa ratus tahun lagi bisa sama seperti era sty mode U23 AFC.,jadi ternyata inilah era yang di impikan entah berapa ratus tahun lagi bisa sama seperti era sty mode u23 afc,20,Coach_STY,0,Negative
indra safri 😂😂😂😂😂 pssi cinta banget indra safri😂,Youtube,indra safri lawak lawak lawak lawak lawak pssi cinta banget indra safri lawak,indra safri lawak lawak lawak lawak lawak pssi cinta banget indra safri lawak,13,Coach_Indra,1,Negative
"RIP timnas u22, smoga tenang dialam sana... hihihi",Youtube,"RIP timnas u22, smoga tenang dialam sana... hihihi",rip timnas u22 semoga tenang dialam sana hihihi,8,Player,1,Negative
Syukur syukur menang😅,Youtube,Syukur syukur menang hedeh,syukur syukur menang hedeh,4,General,0,Positive
Keliatan sekali pertahanan nya keteteran banget,Youtube,Keliatan sekali pertahanan nya keteteran banget,kelihatan sekali pertahanan nya keteteran banget,6,General,0,Negative
Berasa liat pertandingan antar sekolah SMA.,Youtube,Berasa liat pertandingan antar sekolah SMA.,berasa lihat pertandingan antar sekolah sama,6,Match_Issues,0,Negative
Justin pasti lagi kejebak macet😂😂😂,Youtube,Justin pasti lagi kejebak macet lawak lawak lawak,justin pasti lagi kejebak macet lawak lawak lawak,8,Player,1,Negative
"apresiasi sebesar besar nya kepada pemain, terima kasih atas perjuangan kalian, kalian hebat!! tapi tidak untuk staff kepelatihan dan federasinya!!",Youtube,"apresiasi sebesar besar nya kepada pemain, terima kasih atas perjuangan kalian, kalian hebat!! tapi tidak untuk staff kepelatihan dan federasinya!!",apresiasi sebesar besar nya kepada pemain terima kasih atas perjuangan kalian kalian hebat!! tapi tidak untuk staff kepelatihan dan federasinya!!,20,Player,0,Positive
Era kegelapan kesukaan bang tow3l,Youtube,Era kegelapan kesukaan bang tow3l,era kegelapan kesukaan bang tow3l,5,General,1,Negative
"Saya ingin mengucapkan selamat untuk towel dkk, ocehan kalian d medsos d tv berhasil membuat timnas kembali k habitat aslinya.good job!!",Youtube,"Saya ingin mengucapkan selamat untuk towel dkk, ocehan kalian d medsos d tv berhasil membuat timnas kembali k habitat aslinya.good job!!",saya ingin mengucapkan selamat untuk towel dkk ocehan kalian di medsos di tv berhasil membuat timnas kembali ke habitat aslinyagood job!!,21,Player,1,Negative
"Giliran waktu habis malah protes2, kmana aje 95 menit????",Youtube,"Giliran waktu habis malah protes2, kmana aje 95 menit????",giliran waktu habis malah protes2 kemana saja 95 menit?,9,General,0,Negative
"Betapa Kuat Relijiusnya Bung Indra Safri, langsung sujud syukur",Youtube,"Betapa Kuat Relijiusnya Bung Indra Safri, langsung sujud syukur",betapa kuat relijiusnya bung indra safri langsung sujud syukur,9,Coach_Indra,0,Positive
Guru penjas😂,Youtube,Guru penjas lawak,guru penjas lawak,3,Coach_Indra,1,Negative
"Liburin liga 
 FIFA MATCHDAY dipakai U-23 demi fokus sea games hasilnya lolos grup aja enggak 😂😂😂😂😂",Youtube,Liburin liga FIFA MATCHDAY dipakai U-23 demi fokus sea games hasilnya lolos grup aja enggak lawak lawak lawak lawak lawak,liburin liga fifa matchday dipakai u-23 demi fokus sea games hasilnya lolos grup saja enggak lawak lawak lawak lawak lawak,20,Match_Issues,1,Negative
yang sabar untuk era timnas sekarang.. semoga lebih baik lagi kedepannya.. Mau maju apa mundur tergantung mereka yang mau berbuat kemana arahnya timnas sepakbola ini..,Youtube,yang sabar untuk era timnas sekarang.. semoga lebih baik lagi kedepannya.. Mau maju apa mundur tergantung mereka yang mau berbuat kemana arahnya timnas sepakbola ini..,yang sabar untuk era timnas sekarang semoga lebih baik lagi kedepannya mau maju apa mundur tergantung mereka yang mau berbuat kemana arahnya timnas sepakbola ini,25,Player,0,Neutral
Terimakasih Myanmar....👍👍,Youtube,Terimakasih Myanmar.... jempol ke atas jempol ke atas,terimakasih myanmar jempol ke atas jempol ke atas,8,General,0,Positive
"Saya perhatikan sejak era evan dimas pak kumis ini strateginya mudah di baca oleh pelatih lawan,dan kadang telat mrnganti pemain yg kurang efektif",Youtube,"Saya perhatikan sejak era evan dimas pak kumis ini strateginya mudah di baca oleh pelatih lawan,dan kadang telat mrnganti pemain yg kurang efektif",saya perhatikan sejak era evan dimas pak kumis ini strateginya mudah di baca oleh pelatih lawandan kadang telat mrnganti pemain yang kurang efektif,23,Coach_Indra,0,Negative
"Pertandingan internasional rasa tarkam. . 
 
 Bikin emosi aja nontonnya..",Youtube,Pertandingan internasional rasa tarkam. . Bikin emosi aja nontonnya..,pertandingan internasional rasa tarkam bikin emosi saja nontonnya,8,Match_Issues,0,Negative
Hasil kerja keras ET menyingkirkan coach STY👏👏,Youtube,Hasil kerja keras ET menyingkirkan coach STY tepuk tangan tepuk tangan,hasil kerja keras et menyingkirkan coach sty tepuk tangan tepuk tangan,11,Coach_STY,0,Positive
Toel pun senang melihat ini😂,Youtube,Toel pun senang melihat ini lawak,toel pun senang melihat ini lawak,6,General,1,Negative
Biasa nonton timnas era sin balik ke sini jd kaya tarkam .. skrng pindah tontonan ke PERSIB gw ...,Youtube,Biasa nonton timnas era sin balik ke sini jd kaya tarkam .. skrng pindah tontonan ke PERSIB gw ...,biasa menonton timnas era sin balik ke sini jadi kayak tarkam sekarang pindah tontonan ke persib gue,17,Player,0,Negative
Gaya bermain sepak bola adalah gambaran suatu bangsa 😊,Youtube,Gaya bermain sepak bola adalah gambaran suatu bangsa wajah tersenyum dengan mata bahagia,gaya bermain sepak bola adalah gambaran suatu bangsa wajah tersenyum dengan mata bahagia,13,Player,0,Positive
Towel senyum bahagia,Youtube,Towel senyum bahagia,towel senyum bahagia,3,Pundit,0,Positive
Dari juara bertahan menjadi pecundang bertahan.,Youtube,Dari juara bertahan menjadi pecundang bertahan.,dari juara bertahan menjadi pecundang bertahan,6,General,0,Negative
Jauh levelnya diera StY,Youtube,Jauh levelnya diera StY,jauh levelnya diera sty,4,Coach_STY,0,Negative
"Mantappp 
 Setelah kesuksesan sea games 
 Coach indra safri langsung naik kelas melatih timnas senior.🎉",Youtube,Mantappp Setelah kesuksesan sea games Coach indra safri langsung naik kelas melatih timnas senior. party popper,mantap setelah kesuksesan sea games coach indra safri langsung naik kelas melatih timnas senior party popper,16,Coach_Indra,0,Positive
Era emas Timnas 🎪🎪🎪,Youtube,Era emas Timnas sirkus sirkus sirkus,era emas timnas sirkus sirkus sirkus,6,Player,1,Negative
"Batas kesabaran supporter timnas tidak lagi meluapkan emosi, tapi diam dan tidak peduli",Youtube,"Batas kesabaran supporter timnas tidak lagi meluapkan emosi, tapi diam dan tidak peduli",batas kesabaran supporter timnas tidak lagi meluapkan emosi tapi diam dan tidak peduli,13,Player,0,Negative
Erik tohir ...inikah timnas yang kau inginkan ?🤣🤣,Youtube,Erik tohir ...inikah timnas yang kau inginkan ? ngakak ngakak,erik tohir inikah timnas yang kau inginkan ? mengakak mengakak,10,Mgmt_ET,1,Negative
Akhirnya mengalirrr deraaassss... lumayan buat tahun baruan 😅😅😅.,Youtube,Akhirnya mengalirrr deraaassss... lumayan buat tahun baruan hedeh hedeh hedeh .,akhirnya mengalir deras lumayan buat tahun baruan hedeh hedeh hedeh,10,General,1,Negative
mantap indonesia.🔥,Youtube,mantap indonesia. menyala,mantap indonesia menyala,3,General,0,Positive
Raven naluri gol nya bagus,Youtube,Raven naluri gol nya bagus,raven naluri gol nya bagus,5,General,0,Positive
"Terima kasih atas perjuangan kalian. Kegagalan bukanlah hal baru bagi tim ini. Ini adalah Tradisi dan Kalian Sukses Mempertahankannya. Selamat. Beristirahat Lebih Cepat agar dapat memulihkan stamina dan kondisi kalian. Kalian hanyalan ""Prajurit di Lapangan"". Kekalahan dan Kemenangan adalah tanggung jawab Panglima Perang, bukan pada kalian. Terima kasih untuk Raven, Jenner & Doni Tri yang sedikit memberi muka pada tim ini.",Youtube,"Terima kasih atas perjuangan kalian. Kegagalan bukanlah hal baru bagi tim ini. Ini adalah Tradisi dan Kalian Sukses Mempertahankannya. Selamat. Beristirahat Lebih Cepat agar dapat memulihkan stamina dan kondisi kalian. Kalian hanyalan ""Prajurit di Lapangan"". Kekalahan dan Kemenangan adalah tanggung jawab Panglima Perang, bukan pada kalian. Terima kasih untuk Raven, Jenner & Doni Tri yang sedikit memberi muka pada tim ini.",terima kasih atas perjuangan kalian kegagalan bukanlah hal baru bagi tim ini ini adalah tradisi dan kalian sukses mempertahankannya selamat beristirahat lebih cepat agar dapat memulihkan stamina dan kondisi kalian kalian hanyalan prajurit di lapangan kekalahan dan kemenangan adalah tanggung jawab panglima perang bukan pada kalian terima kasih untuk raven jenner doni tri yang sedikit memberi muka pada tim ini,60,General,1,Negative
Kocak kiper nya kaya maen tarkam megang bola jga,Youtube,Kocak kiper nya kaya maen tarkam megang bola jga,kocak kiper nya kayak main tarkam memegang bola juga,9,Player,0,Negative
"Syukurlah menang, prediksiku bakalan imbang.",Youtube,"Syukurlah menang, prediksiku bakalan imbang.",syukurlah menang prediksiku bakalan imbang,5,General,0,Positive
Towel jackpot lagi wd,Youtube,Towel jackpot lagi wd,towel jackpot lagi wd,4,Pundit,0,Positive
Arya Sinulingga cs tersenyum melihat ini😊 cair cairrr😂,Youtube,Arya Sinulingga cs tersenyum melihat ini wajah tersenyum dengan mata bahagia cair cairrr lawak,arya sinulingga cs tersenyum melihat ini wajah tersenyum dengan mata bahagia cair cair lawak,14,Mgmt_Arya,1,Negative
Permainan seperti obak sodor,Youtube,Permainan seperti obak sodor,permainan seperti obak sodor,4,General,0,Negative
Raven selalu bagus,Youtube,Raven selalu bagus,raven selalu bagus,3,General,0,Positive
"Untuk para Pemain, tetap semangat untuk kedepannya lebih baik.
 
 untuk federasi perlu direformasi.",Youtube,"Untuk para Pemain, tetap semangat untuk kedepannya lebih baik. untuk federasi perlu direformasi.",untuk para pemain tetap semangat untuk kedepannya lebih baik untuk federasi perlu direformasi,13,Mgmt_General,0,Neutral
Banyak pemain titipan yang harus dimainkan😂😂😂,Youtube,Banyak pemain titipan yang harus dimainkan lawak lawak lawak,banyak pemain titipan yang harus dimainkan lawak lawak lawak,9,Player,1,Negative
Alhamdulillah akhirnya mainnya kembali ke era kegelapan 😂,Youtube,Alhamdulillah akhirnya mainnya kembali ke era kegelapan lawak,alhamdulillah akhirnya mainnya kembali ke era kegelapan lawak,8,General,1,Negative
Indra xavri kembali menjukan kelas nya sebagai pelatih terbaik tarkam,Youtube,Indra xavri kembali menjukan kelas nya sebagai pelatih terbaik tarkam,indra xavri kembali menjukan kelas nya sebagai pelatih terbaik tarkam,10,Coach_Indra,1,Negative
Sediih banget liat Timnas... hiks2 kok bisa - bisanya permainannya kembali ke zaman batu..😢😭🥹,Youtube,Sediih banget liat Timnas... hiks2 kok bisa - bisanya permainannya kembali ke zaman batu.. wajah menangis wajah menangis keras wajah menahan air mata,sediih banget lihat timnas hiks2 kok bisa - bisanya permainannya kembali ke zaman batu wajah menangis wajah menangis keras wajah menahan air mata,23,Player,0,Negative
Kebanggan towel telqh kembali..😅😅😅,Youtube,Kebanggan towel telqh kembali.. hedeh hedeh hedeh,kebanggaan towel telqh kembali hedeh hedeh hedeh,7,Pundit,1,Negative
Era kegelapan muncul lagi,Youtube,Era kegelapan muncul lagi,era kegelapan muncul lagi,4,General,0,Negative
Era kegelapan mulai bangkit lgi 😂,Youtube,Era kegelapan mulai bangkit lgi lawak,era kegelapan mulai bangkit lagi lawak,6,General,1,Negative
shin tae yong tertawa melihat ini,Youtube,shin tae yong tertawa melihat ini,shin tae yong tertawa melihat ini,6,Coach_STY,1,Negative
Tetap smangat timnas garuda telah berjuang skuat tenanga dn kmampuan. Blum bruntung utk lolos.😢,Youtube,Tetap smangat timnas garuda telah berjuang skuat tenanga dn kmampuan. Blum bruntung utk lolos. wajah menangis,tetap semangat timnas garuda telah berjuang skuat tenanga dan kmampuan belum bruntung untuk lolos wajah menangis,16,Player,0,Negative
Erik Tohir senyum melihat ini😂,Youtube,Erik Tohir senyum melihat ini lawak,erik tohir senyum melihat ini lawak,6,Mgmt_ET,1,Negative
